Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
211,scaled,0.10,5,180,manhattan,Base,111.486,66169.878,0.526,0.139
212,scaled,0.10,5,180,manhattan,Optimal without Warm Start,121.693,66536.004,0.596,0.281
213,scaled,0.10,5,180,manhattan,Optimal with Warm Start,118.306,66478.458,0.551,0.186
214,scaled,0.10,5,180,euclidean,Base,19.913,55333.216,0.526,0.139
215,scaled,0.10,5,180,euclidean,Optimal without Warm Start,73.015,55456.215,0.345,0.209
216,scaled,0.10,5,180,euclidean,Optimal with Warm Start,19.913,55333.216,0.526,0.139
217,scaled,0.25,3,30,manhattan,Base,631.032,158127.535,0.694,0.349
218,scaled,0.25,3,30,manhattan,Optimal without Warm Start,1705.168,168353.535,0.275,0.361
219,scaled,0.25,3,30,manhattan,Optimal with Warm Start,634.205,159438.141,0.695,0.350
220,scaled,0.25,3,30,euclidean,Base,100.440,131550.940,0.694,0.349
221,scaled,0.25,3,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
222,scaled,0.25,3,30,euclidean,Optimal with Warm Start,100.440,131550.940,0.694,0.349
223,scaled,0.25,3,90,manhattan,Base,631.032,158127.535,0.694,0.349
224,scaled,0.25,3,90,manhattan,Optimal without Warm Start,873.827,161301.051,0.661,0.260
225,scaled,0.25,3,90,manhattan,Optimal with Warm Start,613.147,159666.587,0.619,0.424
226,scaled,0.25,3,90,euclidean,Base,100.440,131550.940,0.694,0.349
227,scaled,0.25,3,90,euclidean,Optimal without Warm Start,1599.948,141027.322,0.467,0.436
228,scaled,0.25,3,90,euclidean,Optimal with Warm Start,100.440,131550.940,0.694,0.349
229,scaled,0.25,3,180,manhattan,Base,631.032,158127.535,0.694,0.349
230,scaled,0.25,3,180,manhattan,Optimal without Warm Start,665.722,159530.870,0.632,0.233
231,scaled,0.25,3,180,manhattan,Optimal with Warm Start,613.147,159666.587,0.619,0.424
232,scaled,0.25,3,180,euclidean,Base,100.440,131550.940,0.694,0.349
233,scaled,0.25,3,180,euclidean,Optimal without Warm Start,1599.948,141027.322,0.467,0.436
234,scaled,0.25,3,180,euclidean,Optimal with Warm Start,100.440,131550.940,0.694,0.349
235,scaled,0.25,4,30,manhattan,Base,534.788,157552.770,0.604,0.194
236,scaled,0.25,4,30,manhattan,Optimal without Warm Start,1982.378,170769.326,0.134,0.196
237,scaled,0.25,4,30,manhattan,Optimal with Warm Start,540.351,158700.835,0.604,0.195
238,scaled,0.25,4,30,euclidean,Base,86.239,131484.904,0.604,0.194
