DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.75,3,90,manhattan,Optimal with Warm Start,1151.804164,106162.4914,0.654714618,0.471512952
normalized,0.75,3,90,euclidean,Base,241.3807921,46675.52144,0.57050667,0.340880492
normalized,0.75,3,90,euclidean,Optimal without Warm Start,241.3807921,46675.52144,0.603193225,0.397025082
normalized,0.75,3,90,euclidean,Optimal with Warm Start,241.3807921,46675.52144,0.654714618,0.471512952
normalized,0.75,3,180,manhattan,Base,1151.804164,106162.4914,0.57050667,0.340880492
normalized,0.75,3,180,manhattan,Optimal without Warm Start,1151.804164,106162.4914,0.603193225,0.397025082
normalized,0.75,3,180,manhattan,Optimal with Warm Start,1151.804164,106162.4914,0.654714618,0.471512952
normalized,0.75,3,180,euclidean,Base,241.3807921,46675.52144,0.57050667,0.340880492
normalized,0.75,3,180,euclidean,Optimal without Warm Start,241.3807921,46675.52144,0.603193225,0.397025082
normalized,0.75,3,180,euclidean,Optimal with Warm Start,241.3807921,46675.52144,0.654714618,0.471512952
normalized,0.75,4,30,manhattan,Base,1041.502001,104482.8231,0.548363024,0.406418122
normalized,0.75,4,30,manhattan,Optimal without Warm Start,1022.563771,103983.3426,0.532840925,0.332040567
normalized,0.75,4,30,manhattan,Optimal with Warm Start,1105.076645,107576.3448,0.551085469,0.416144673
normalized,0.75,4,30,euclidean,Base,212.2814029,46809.89541,0.548363024,0.406418122
normalized,0.75,4,30,euclidean,Optimal without Warm Start,207.84468,46809.27,0.546435939,0.369587937
normalized,0.75,4,30,euclidean,Optimal with Warm Start,207.84468,46809.27,0.578615176,0.405384134
normalized,0.75,4,90,manhattan,Base,1041.502001,104482.8231,0.548363024,0.406418122
normalized,0.75,4,90,manhattan,Optimal without Warm Start,964.999766,104900.0361,0.560654115,0.334641275
normalized,0.75,4,90,manhattan,Optimal with Warm Start,956.6993459,105450.2591,0.569928821,0.328507673
normalized,0.75,4,90,euclidean,Base,212.2814029,46809.89541,0.548363024,0.406418122
normalized,0.75,4,90,euclidean,Optimal without Warm Start,207.84468,46809.27,0.546435939,0.369587937
normalized,0.75,4,90,euclidean,Optimal with Warm Start,207.84468,46809.27,0.578615176,0.405384134
normalized,0.75,4,180,manhattan,Base,1041.502001,104482.8231,0.548363024,0.406418122
normalized,0.75,4,180,manhattan,Optimal without Warm Start,956.6993504,105450.2594,0.569928821,0.328507673
normalized,0.75,4,180,manhattan,Optimal with Warm Start,956.6993459,105450.2591,0.569928821,0.328507673
normalized,0.75,4,180,euclidean,Base,212.2814029,46809.89541,0.548363024,0.406418122
normalized,0.75,4,180,euclidean,Optimal without Warm Start,207.84468,46809.27,0.546435939,0.369587937
normalized,0.75,4,180,euclidean,Optimal with Warm Start,207.84468,46809.27,0.578615176,0.405384134
normalized,0.75,5,30,manhattan,Base,979.1260551,104286.8093,0.507850791,0.316558579
normalized,0.75,5,30,manhattan,Optimal without Warm Start,939.5296138,105939.3802,0.52823953,0.30774222
normalized,0.75,5,30,manhattan,Optimal with Warm Start,840.8876545,105911.0169,0.404922726,0.217229473
normalized,0.75,5,30,euclidean,Base,203.0299257,46898.53661,0.507850791,0.316558579
normalized,0.75,5,30,euclidean,Optimal without Warm Start,266.2031003,48216.24276,0.440389145,0.246930344
normalized,0.75,5,30,euclidean,Optimal with Warm Start,209.6414067,46261.49235,0.566520759,0.477280973
normalized,0.75,5,90,manhattan,Base,979.1260551,104286.8093,0.507850791,0.316558579
normalized,0.75,5,90,manhattan,Optimal without Warm Start,939.5296138,105939.3802,0.52823953,0.30774222
normalized,0.75,5,90,manhattan,Optimal with Warm Start,816.0193319,106043.6147,0.443703461,0.269629951
normalized,0.75,5,90,euclidean,Base,203.0299257,46898.53661,0.507850791,0.316558579
normalized,0.75,5,90,euclidean,Optimal without Warm Start,180.8495475,46549.20984,0.465072756,0.229409932
normalized,0.75,5,90,euclidean,Optimal with Warm Start,190.372003,47204.18844,0.467916288,0.157997075
normalized,0.75,5,180,manhattan,Base,979.1260551,104286.8093,0.507850791,0.316558579
normalized,0.75,5,180,manhattan,Optimal without Warm Start,879.1930775,105547.6323,0.502245312,0.319893455
normalized,0.75,5,180,manhattan,Optimal with Warm Start,816.0193319,106043.6147,0.443703461,0.269629951
normalized,0.75,5,180,euclidean,Base,203.0299257,46898.53661,0.507850791,0.316558579
normalized,0.75,5,180,euclidean,Optimal without Warm Start,180.8495475,46549.20984,0.465072756,0.229409932
normalized,0.75,5,180,euclidean,Optimal with Warm Start,180.8495475,46549.20984,0.483273658,0.302912705
scaled,0.1,3,30,manhattan,Base,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,30,manhattan,Optimal without Warm Start,8.139341228,11695.49082,0.798799403,0.323358218
scaled,0.1,3,30,manhattan,Optimal with Warm Start,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,30,euclidean,Base,2.000834606,5622.609289,0.834751813,0.445419685
scaled,0.1,3,30,euclidean,Optimal without Warm Start,2.000834612,5622.609289,0.834751813,0.445419685
scaled,0.1,3,30,euclidean,Optimal with Warm Start,2.000834606,5543.16279,0.834751813,0.445419685
scaled,0.1,3,90,manhattan,Base,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,90,manhattan,Optimal without Warm Start,8.139341228,11695.49082,0.798799403,0.323358218
scaled,0.1,3,90,manhattan,Optimal with Warm Start,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,90,euclidean,Base,2.000834606,5622.609289,0.834751813,0.445419685
scaled,0.1,3,90,euclidean,Optimal without Warm Start,2.000834612,5622.609289,0.834751813,0.445419685
scaled,0.1,3,90,euclidean,Optimal with Warm Start,2.000834606,5543.16279,0.834751813,0.445419685
scaled,0.1,3,180,manhattan,Base,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,180,manhattan,Optimal without Warm Start,8.139341228,11695.49082,0.798799403,0.323358218
scaled,0.1,3,180,manhattan,Optimal with Warm Start,8.139341228,11695.49082,0.834751813,0.445419685
scaled,0.1,3,180,euclidean,Base,2.000834606,5622.609289,0.834751813,0.445419685
scaled,0.1,3,180,euclidean,Optimal without Warm Start,2.000834612,5622.609289,0.834751813,0.445419685
scaled,0.1,3,180,euclidean,Optimal with Warm Start,2.000834606,5543.16279,0.834751813,0.445419685
scaled,0.1,4,30,manhattan,Base,7.514316914,11694.66128,0.83205486,0.335919968
scaled,0.1,4,30,manhattan,Optimal without Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,30,manhattan,Optimal with Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,30,euclidean,Base,1.823790167,5630.997466,0.83205486,0.335919968
scaled,0.1,4,30,euclidean,Optimal without Warm Start,1.156310446,5569.011023,0.902348349,0.621976246
scaled,0.1,4,30,euclidean,Optimal with Warm Start,1.156310446,5569.011023,0.796835644,0.137297964
scaled,0.1,4,90,manhattan,Base,7.514316914,11694.66128,0.83205486,0.335919968
scaled,0.1,4,90,manhattan,Optimal without Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,90,manhattan,Optimal with Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,90,euclidean,Base,1.823790167,5630.997466,0.83205486,0.335919968
scaled,0.1,4,90,euclidean,Optimal without Warm Start,1.156310446,5569.011023,0.902348349,0.621976246
scaled,0.1,4,90,euclidean,Optimal with Warm Start,1.156310446,5569.011023,0.796835644,0.137297964
scaled,0.1,4,180,manhattan,Base,7.514316914,11694.66128,0.83205486,0.335919968
scaled,0.1,4,180,manhattan,Optimal without Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,180,manhattan,Optimal with Warm Start,4.572087205,11567.3504,0.894487295,0.515321718
scaled,0.1,4,180,euclidean,Base,1.823790167,5630.997466,0.83205486,0.335919968
scaled,0.1,4,180,euclidean,Optimal without Warm Start,1.156310446,5569.011023,0.902348349,0.621976246
scaled,0.1,4,180,euclidean,Optimal with Warm Start,1.156310446,5569.011023,0.796835644,0.137297964
scaled,0.1,5,30,manhattan,Base,6.820304927,11670.84489,0.828510106,0.183588149
scaled,0.1,5,30,manhattan,Optimal without Warm Start,2.884055886,11445.51906,0.873952016,0.811192077
scaled,0.1,5,30,manhattan,Optimal with Warm Start,2.884055886,11452.22941,0.873952016,0.811192077
scaled,0.1,5,30,euclidean,Base,1.594764345,5642.447239,0.828510106,0.183588149
scaled,0.1,5,30,euclidean,Optimal without Warm Start,0.775853438,5525.093788,0.775203631,0.286533024
scaled,0.1,5,30,euclidean,Optimal with Warm Start,0.775853438,5540.785835,0.83899575,0.346191298
scaled,0.1,5,90,manhattan,Base,6.820304927,11670.84489,0.828510106,0.183588149
scaled,0.1,5,90,manhattan,Optimal without Warm Start,2.884055886,11445.51906,0.873952016,0.811192077
scaled,0.1,5,90,manhattan,Optimal with Warm Start,2.884055886,11452.22941,0.873952016,0.811192077
scaled,0.1,5,90,euclidean,Base,1.594764345,5642.447239,0.828510106,0.183588149
scaled,0.1,5,90,euclidean,Optimal without Warm Start,0.775853438,5525.093788,0.775203631,0.286533024
scaled,0.1,5,90,euclidean,Optimal with Warm Start,0.775853438,5540.785835,0.83899575,0.346191298
scaled,0.1,5,180,manhattan,Base,6.820304927,11670.84489,0.828510106,0.183588149
scaled,0.1,5,180,manhattan,Optimal without Warm Start,2.884055886,11445.51906,0.873952016,0.811192077
scaled,0.1,5,180,manhattan,Optimal with Warm Start,2.884055886,11452.22941,0.873952016,0.811192077
scaled,0.1,5,180,euclidean,Base,1.594764345,5642.447239,0.828510106,0.183588149
scaled,0.1,5,180,euclidean,Optimal without Warm Start,0.775853438,5525.093788,0.775203631,0.286533024
scaled,0.1,5,180,euclidean,Optimal with Warm Start,0.775853438,5540.785835,0.83899575,0.346191298
scaled,0.25,3,30,manhattan,Base,23.46656309,27078.78851,0.794215282,0.420447345
scaled,0.25,3,30,manhattan,Optimal without Warm Start,22.89753582,27206.58264,0.72966702,0.31851661
scaled,0.25,3,30,manhattan,Optimal with Warm Start,22.89753582,27206.58264,0.794215282,0.420447345
scaled,0.25,3,30,euclidean,Base,5.866592804,13808.05748,0.794215282,0.420447345
scaled,0.25,3,30,euclidean,Optimal without Warm Start,5.866592804,13808.05748,0.775066156,0.408239335
scaled,0.25,3,30,euclidean,Optimal with Warm Start,5.866592804,13808.05748,0.72966702,0.31851661
scaled,0.25,3,90,manhattan,Base,23.46656309,27078.78851,0.794215282,0.420447345
scaled,0.25,3,90,manhattan,Optimal without Warm Start,22.89753582,27206.58264,0.72966702,0.31851661
scaled,0.25,3,90,manhattan,Optimal with Warm Start,22.89753582,27206.58264,0.794215282,0.420447345
scaled,0.25,3,90,euclidean,Base,5.866592804,13808.05748,0.794215282,0.420447345
scaled,0.25,3,90,euclidean,Optimal without Warm Start,5.866592804,13808.05748,0.775066156,0.408239335
scaled,0.25,3,90,euclidean,Optimal with Warm Start,5.866592804,13808.05748,0.72966702,0.31851661
scaled,0.25,3,180,manhattan,Base,23.46656309,27078.78851,0.794215282,0.420447345
scaled,0.25,3,180,manhattan,Optimal without Warm Start,22.89753582,27206.58264,0.72966702,0.31851661
