DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.75,4,30,manhattan,Optimal with Warm Start,39070.85070166845,762518.4151535926,0.5317418625821028,0.38585631170497264
normalized,0.75,4,30,euclidean,Base,7627.961378653446,354463.46500475716,0.4704882910924222,0.252529330918333
normalized,0.75,4,30,euclidean,Optimal without Warm Start,-15095.0,-15095.0,-15095.0,-15095.0
normalized,0.75,4,30,euclidean,Optimal with Warm Start,7693.704954877143,353973.39407019847,0.5317418625821028,0.38585631170497264
normalized,0.75,4,90,manhattan,Base,39502.76296036805,786436.7389777492,0.4704882910924222,0.252529330918333
normalized,0.75,4,90,manhattan,Optimal without Warm Start,197277.9527163257,549864.5816380576,0.2674495344688315,0.276157493991329
normalized,0.75,4,90,manhattan,Optimal with Warm Start,39070.85070166845,762518.4151535926,0.5317418625821028,0.38585631170497264
normalized,0.75,4,90,euclidean,Base,7627.961378653446,354463.46500475716,0.4704882910924222,0.252529330918333
normalized,0.75,4,90,euclidean,Optimal without Warm Start,-15095.0,-15095.0,-15095.0,-15095.0
normalized,0.75,4,90,euclidean,Optimal with Warm Start,7693.704954877143,353973.39407019847,0.5317418625821028,0.38585631170497264
normalized,0.75,4,180,manhattan,Base,39502.76296036805,786436.7389777492,0.4704882910924222,0.252529330918333
normalized,0.75,4,180,manhattan,Optimal without Warm Start,197277.9527163257,549864.5816380576,0.2674495344688315,0.276157493991329
normalized,0.75,4,180,manhattan,Optimal with Warm Start,39070.85070166845,762518.4151535926,0.5317418625821028,0.38585631170497264
normalized,0.75,4,180,euclidean,Base,7627.961378653446,354463.46500475716,0.4704882910924222,0.252529330918333
normalized,0.75,4,180,euclidean,Optimal without Warm Start,24398.47036647454,339839.4035779919,0.1547655571568604,0.15416101111458397
normalized,0.75,4,180,euclidean,Optimal with Warm Start,7693.704954877143,353973.39407019847,0.5317418625821028,0.38585631170497264
normalized,0.75,5,30,manhattan,Base,38142.49498830947,787504.3203059267,0.47152406740973174,0.20267367794665941
normalized,0.75,5,30,manhattan,Optimal without Warm Start,209545.51253954018,642093.5112209127,0.18491484558001398,0.170422619832088
normalized,0.75,5,30,manhattan,Optimal with Warm Start,35546.56401080283,783690.7828249787,0.4146369561746553,0.1609282473265174
normalized,0.75,5,30,euclidean,Base,7095.365242437687,354986.41436996165,0.47152406740973174,0.20267367794665941
normalized,0.75,5,30,euclidean,Optimal without Warm Start,-15095.0,-15095.0,-15095.0,-15095.0
normalized,0.75,5,30,euclidean,Optimal with Warm Start,6750.436168424625,353039.59775714314,0.4146369561746553,0.1609282473265174
normalized,0.75,5,90,manhattan,Base,38142.49498830947,787504.3203059267,0.47152406740973174,0.20267367794665941
